Area,Build year,Building type,Equipment,Floor,Heating system,No. of floors,Number of rooms,Renovation year,price,city,region,street
73.86,2020,Brick,Partial decoration,4,"Electric, aerothermal",4,3,0,106000,Vilnius,Santariškės,Daujoto g.
64,2020,Brick,Fully equipped,6,Central thermostat,6,3,0,259000,Vilnius,Šnipiškės,Rinktinės g.
76,2018,Brick,Fully equipped,6,Central thermostat,6,3,0,279000,Vilnius,Žvėrynas,Pieninės g.
76.4,2018,Brick,Fully equipped,6,"Solid fuel, gas",6,3,0,279000,Vilnius,Žvėrynas,Pieninės g.
62,2020,Brick,Fully equipped,2,Central thermostat,6,3,0,139999,Vilnius,Naujamiestis,Gerosios Vilties g.
64,2020,Brick,Fully equipped,5,"Central thermostat, other",6,3,0,259000,Vilnius,Šnipiškės,Rinktinės g.
46.86,2021,Other,Partial decoration,6,Central thermostat,9,2,0,99529,Vilnius,Šnipiškės,Giedraičių g.
27,2021,Other,Partial decoration,7,Central thermostat,9,1,0,67076,Vilnius,Šnipiškės,Giedraičių g.
51.25,2021,Brick,Partial decoration,3,Central thermostat,5,2,0,80000,Vilnius,Pilaitė,Bitėnų g.
38.59,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,49990,Klaipėda,Šauliai,Ragainės g.
81.65,2020,Brick,Partial decoration,2,Central thermostat,4,3,0,288500,Vilnius,Užupis,Polocko g.
58.84,2020,Brick,Partial decoration,3,"Electric, aerothermal",4,2,0,85500,Vilnius,Santariškės,Daujoto g.
45,2021,Brick,Fully equipped,2,Gas,3,2,0,58900,Kauno r. sav.,Giraitės k.,Putinų g.
60.5,2019,Brick,Fully equipped,3,"Electric, gas",3,2,0,69500,Kauno r. sav.,None,Giraitės k.
57.51,2020,Brick,Partial decoration,4,"Electric, aerothermal",4,2,0,84000,Vilnius,Santariškės,Daujoto g.
33.6,2021,Brick,Partial decoration,5,Central thermostat,5,1,0,89000,Vilnius,Šnipiškės,Giedraičių g.
37.8,2021,Brick,Partial decoration,4,Central thermostat,6,2,0,94500,Vilnius,Šnipiškės,Giedraičių g.
33.35,2021,Brick,Partial decoration,3,Central thermostat,6,1,0,85000,Vilnius,Šnipiškės,Giedraičių g.
57.94,2021,Brick,Partial decoration,4,Central thermostat,5,3,0,93000,Vilnius,Pilaitė,Bitėnų g.
25,2020,Brick,Partial decoration,4,Central thermostat,4,1,0,36490,Klaipėda,Šauliai,Ragainės g.
133,2019,Brick,Partial decoration,2,Central,3,4,0,259000,Klaipėda,Centras,Žiedų skg.
68.29,2020,Block house,Partial decoration,1,Central thermostat,5,2,0,85400,Vilnius,Pilaitė,Karaliaučiaus g.
40.63,2020,Block house,Partial decoration,3,Central,9,2,0,55500,Kaunas,Dainava,Pramonės pr.
64,2004,Brick,Fully equipped,2,"Electric, other",3,2,2016,185500,Vilnius,Žvėrynas,Kęstučio g.
63.15,2021,Brick,Partial decoration,3,Central thermostat,4,3,0,74990,Klaipėda,Šauliai,Ragainės g.
73.86,2020,Brick,Partial decoration,4,"Electric, aerothermal",4,3,0,106000,Vilnius,Santariškės,Daujoto g.
64,2020,Brick,Fully equipped,6,Central thermostat,6,3,0,259000,Vilnius,Šnipiškės,Rinktinės g.
76,2018,Brick,Fully equipped,6,Central thermostat,6,3,0,279000,Vilnius,Žvėrynas,Pieninės g.
76.4,2018,Brick,Fully equipped,6,"Solid fuel, gas",6,3,0,279000,Vilnius,Žvėrynas,Pieninės g.
62,2020,Brick,Fully equipped,2,Central thermostat,6,3,0,139999,Vilnius,Naujamiestis,Gerosios Vilties g.
64,2020,Brick,Fully equipped,5,"Central thermostat, other",6,3,0,259000,Vilnius,Šnipiškės,Rinktinės g.
46.86,2021,Other,Partial decoration,6,Central thermostat,9,2,0,99529,Vilnius,Šnipiškės,Giedraičių g.
27,2021,Other,Partial decoration,7,Central thermostat,9,1,0,67076,Vilnius,Šnipiškės,Giedraičių g.
51.25,2021,Brick,Partial decoration,3,Central thermostat,5,2,0,80000,Vilnius,Pilaitė,Bitėnų g.
38.59,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,49990,Klaipėda,Šauliai,Ragainės g.
81.65,2020,Brick,Partial decoration,2,Central thermostat,4,3,0,288500,Vilnius,Užupis,Polocko g.
58.84,2020,Brick,Partial decoration,3,"Electric, aerothermal",4,2,0,85500,Vilnius,Santariškės,Daujoto g.
45,2021,Brick,Fully equipped,2,Gas,3,2,0,58900,Kauno r. sav.,Giraitės k.,Putinų g.
60.5,2019,Brick,Fully equipped,3,"Electric, gas",3,2,0,69500,Kauno r. sav.,None,Giraitės k.
57.51,2020,Brick,Partial decoration,4,"Electric, aerothermal",4,2,0,84000,Vilnius,Santariškės,Daujoto g.
33.6,2021,Brick,Partial decoration,5,Central thermostat,5,1,0,89000,Vilnius,Šnipiškės,Giedraičių g.
37.8,2021,Brick,Partial decoration,4,Central thermostat,6,2,0,94500,Vilnius,Šnipiškės,Giedraičių g.
33.35,2021,Brick,Partial decoration,3,Central thermostat,6,1,0,85000,Vilnius,Šnipiškės,Giedraičių g.
57.94,2021,Brick,Partial decoration,4,Central thermostat,5,3,0,93000,Vilnius,Pilaitė,Bitėnų g.
25,2020,Brick,Partial decoration,4,Central thermostat,4,1,0,36490,Klaipėda,Šauliai,Ragainės g.
133,2019,Brick,Partial decoration,2,Central,3,4,0,259000,Klaipėda,Centras,Žiedų skg.
68.29,2020,Block house,Partial decoration,1,Central thermostat,5,2,0,85400,Vilnius,Pilaitė,Karaliaučiaus g.
40.63,2020,Block house,Partial decoration,3,Central,9,2,0,55500,Kaunas,Dainava,Pramonės pr.
64,2004,Brick,Fully equipped,2,"Electric, other",3,2,2016,185500,Vilnius,Žvėrynas,Kęstučio g.
63.15,2021,Brick,Partial decoration,3,Central thermostat,4,3,0,74990,Klaipėda,Šauliai,Ragainės g.
43.08,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,144850,Vilnius,Senamiestis,Polocko g.
55.6,2021,Brick,Partial decoration,4,Central thermostat,4,3,0,99900,Vilnius,Lazdynėliai,Lazdynėlių g.
61.33,2021,Brick,Fully equipped,3,Gas,3,3,0,70300,Kauno r. sav.,Giraitės k.,Girios g.
61.33,2021,Brick,Partial decoration,2,Gas,3,3,0,55200,Kauno r. sav.,Giraitės k.,Girios g.
24.57,2020,Brick,Fully equipped,1,Central thermostat,7,1,0,40000,Klaipėda,Varpai,Varpų g.
38.79,2020,Brick,Fully equipped,3,Central thermostat,9,2,0,62000,Klaipėda,Varpai,Varpų g.
58.46,2020,Brick,Fully equipped,2,Central thermostat,7,3,0,91000,Klaipėda,Varpai,Varpų g.
66.35,2019,Brick,Partial decoration,3,Gas,3,3,0,116700,Vilnius,Antakalnis,Pylimėlių g.
66.32,2020,Other,Partial decoration,5,Central thermostat,9,3,0,135000,Vilnius,Šnipiškės,Giedraičių g.
55.86,2021,Brick,Partial decoration,4,Central thermostat,5,3,0,86000,Vilnius,Pilaitė,Bitėnų g.
52.44,2021,Brick,Partial decoration,4,Central thermostat,5,3,0,83000,Vilnius,Pilaitė,Bitėnų g.
63.3,2021,Brick,Partial decoration,5,Central thermostat,5,3,0,116000,Vilnius,Pilaitė,Bitėnų g.
65.1,2021,Brick,Partial decoration,3,Central thermostat,5,3,0,100000,Vilnius,Pilaitė,Bitėnų g.
67,2020,Block house,Fully equipped,4,Central thermostat,4,3,0,123000,Vilnius,Pilaitė,Karaliaučiaus g.
21.11,2020,Brick,Partial decoration,2,Central thermostat,4,1,0,86600,Vilnius,Užupis,Polocko g.
67,2020,Brick,Partial decoration,1,Central thermostat,5,3,0,144000,Klaipėda,Mažasis kaimelis,Panevėžio g.
63,2020,Brick,Partial decoration,4,Central thermostat,5,3,0,135400,Klaipėda,Mažasis kaimelis,Panevėžio g.
54.71,2020,Brick,Partial decoration,2,Central,5,2,0,95912,Vilnius,Lazdynėliai,Bukčių g.
47.29,1977,Brick,Fully equipped,2,Central,4,2,0,62000,Kaunas,Dainava,Elektrėnų g.
79.15,2016,Brick,Partial decoration,5,Central thermostat,5,3,0,98000,Klaipėda,Miškas,Dragūnų g.
53.58,2020,Brick,Partial decoration,2,Central thermostat,5,2,0,115000,Klaipėda,Mažasis kaimelis,Panevėžio g.
62,2020,Brick,Fully equipped,1,"Electric, gas",2,3,0,73900,Kaunas,Šilainiai,K. Čerbulėno g.
65.81,2021,Brick,Partial decoration,2,Central thermostat,4,4,0,114150,Vilnius,Justiniškės,Taikos g.
39.03,2021,Monolithic,Partial decoration,3,Gas,4,2,0,72791,Palanga,Šventoji,Jūros g.
45.4,2019,Brick,Fully equipped,3,Central thermostat,5,2,0,104420,Palanga,None,Vėžių g.
41.52,2019,Brick,Partial decoration,5,Central thermostat,5,2,0,85110,Palanga,None,Vėžių g.
56.62,2021,Brick,Partial decoration,2,Central thermostat,6,3,0,133000,Vilnius,Šnipiškės,Giedraičių g.
59.78,2021,Brick,Partial decoration,2,Gas,4,2,0,88667,Kaunas,Žemutiniai Kaniūkai,Įkalnės aklg.
65.54,1975,Brick,Fully equipped,3,Central,5,3,0,89900,Kaunas,Žaliakalnis,J. Žemgulio g.
59.12,2021,Monolithic,Partial decoration,1,Central thermostat,6,3,0,115284,Vilnius,Šeškinė,Gelvonų g.
68.27,2021,Monolithic,Partial decoration,2,Central thermostat,6,3,0,133127,Vilnius,Šeškinė,Gelvonų g.
57.1,2021,Monolithic,Partial decoration,3,Central thermostat,6,2,0,114200,Vilnius,Šeškinė,Gelvonų g.
68.3,2020,Block house,Fully equipped,1,Central thermostat,5,2,0,109900,Vilnius,Pilaitė,Karaliaučiaus g.
60.95,2020,Block house,Partial decoration,2,Central thermostat,9,3,0,73000,Kaunas,Dainava,Pramonės pr.
60,2020,Block house,Fully equipped,4,Central thermostat,4,3,0,114000,Vilnius,Pilaitė,Tolminkiemio g.
74,2020,Block house,Fully equipped,1,Central thermostat,4,3,0,133000,Vilnius,Pilaitė,Karaliaučiaus g.
68.27,2020,Monolithic,Partial decoration,3,Central thermostat,6,3,0,133100,Vilnius,Šeškinė,Gelvonų g.
26.33,2021,Brick,Partial decoration,2,Central thermostat,4,1,0,51500,Vilnius,Lazdynėliai,Lazdynėlių g.
50,1959,Brick,Fully equipped,0,Electric,4,2,0,98000,Vilnius,Naujamiestis,A. Smetonos g.
42.79,2021,Brick,Partial decoration,3,Central thermostat,5,2,0,73700,Vilnius,Pašilaičiai,Budiniškių g.
80,2021,Brick,Partial decoration,4,Central thermostat,8,4,0,107150,Kaunas,Dainava,Partizanų g.
63.57,2020,Brick,Partial decoration,3,Central thermostat,4,3,0,82760,Kaunas,Žaliakalnis,Žemaičių g.
52.14,2020,Brick,Partial decoration,4,Central thermostat,4,2,0,76180,Kaunas,Žaliakalnis,Žemaičių g.
66.34,2021,Brick,Partial decoration,3,Central thermostat,5,3,0,147138,Vilnius,Šnipiškės,Linkmenų g.
63,2020,Brick,Partial decoration,2,Gas,3,3,0,56700,Kauno r. sav.,Giraitės k.,Girios g.
64,2020,Brick,Partial decoration,3,Gas,3,3,0,57600,Kauno r. sav.,Giraitės k.,Girios g.
100,2019,Brick,Fully equipped,1,Gas,2,4,0,110000,Kauno r. sav.,Giraitės k.,Adolfo Šapokos g.
76.81,2018,Brick,Partial decoration,1,Central thermostat,7,3,0,112400,Klaipėda,Miškas,Šarlotės g.
76.52,2019,Brick,Partial decoration,3,Central thermostat,7,3,0,124000,Klaipėda,Miškas,Šarlotės g.
37.18,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,74100,Vilnius,Lazdynėliai,Lazdynėlių g.
65.64,2019,Brick,Partial decoration,3,Central,4,4,0,116800,Vilnius,Justiniškės,Taikos g.
74.26,1971,Brick,Fully equipped,4,Central,5,4,0,68000,Druskininkų m.,None,Veisiejų g.
55,2015,Brick,Fully equipped,2,Central,4,2,0,100000,Klaipėda,Mažasis kaimelis,Šiaurės pr.
73.65,2020,Brick,Fully equipped,1,Gas,3,3,0,149000,Kaunas,Šilainiai,Josvainių g.
40,2021,Block house,Partial decoration,9,Central thermostat,9,2,0,60000,Kaunas,Dainava,Pramonės pr.
65.73,2021,Brick,Partial decoration,2,Central thermostat,4,3,0,114200,Vilnius,Justiniškės,Taikos g.
87.08,2021,Brick,Partial decoration,1,Gas,1,4,0,119569,Kaunas,Žemutiniai Kaniūkai,Įkalnės aklg.
73,2021,Brick,Partial decoration,6,Central thermostat,9,4,0,101000,Vilnius,Justiniškės,Rygos g.
51.65,2021,Block house,Fully equipped,1,Gas,3,2,0,64563,Kauno r. sav.,Užliedžių k.,Ilgoji g.
85.96,2017,Brick,Partial decoration,1,Gas,4,3,0,122472,Kaunas,Šilainiai,Kalnų g.
21.7,1934,Brick,Fully equipped,0,Central,6,1,2013,52000,Kaunas,Centras,V. Putvinskio g.
60,2020,Brick,Fully equipped,2,Gas,2,3,0,119000,Kaunas,Dainava,K. Šakenio g.
88.77,2020,Block house,Partial decoration,1,Central thermostat,4,4,0,113400,Vilnius,Pilaitė,Karaliaučiaus g.
48,2018,Block house,Fully equipped,1,Central thermostat,4,2,0,132000,Vilnius,Markučiai,Manufaktūrų g.
46.41,2020,Brick,Partial decoration,2,Central thermostat,4,2,0,161200,Vilnius,Užupis,Polocko g.
60,2020,Brick,Fully equipped,1,Gas,4,3,0,96000,Vilnius,Tarandė,Tarandės g.
33.63,2020,Brick,Partial decoration,1,Central,5,1,0,50370,Kaunas,Dainava,Partizanų g.
45.01,2021,Brick,Partial decoration,3,Central thermostat,4,2,0,55990,Klaipėda,Šauliai,Ragainės g.
42.59,2022,Brick,Partial decoration,2,Central thermostat,2,2,0,97600,Vilnius,Markučiai,Pakraščio g.
32.14,2021,Brick,Partial decoration,2,Central thermostat,5,1,0,52600,Vilnius,Pašilaičiai,Budiniškių g.
57.9,2021,Brick,Partial decoration,3,Central thermostat,8,3,0,82440,Kaunas,Dainava,Partizanų g.
